label	type	cpu_total	gpu_total	shared	concordant	discordant	cpu_only	gpu_only
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s43	SNV	47076	47084	47002	46995	7	74	82
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s43	INDEL	4075	4104	4058	4052	6	17	46
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s43	ALL	51151	51188	51060	51047	13	91	128
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s44	SNV	47075	47147	47016	47008	8	59	131
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s44	INDEL	4085	4126	4070	4063	7	15	56
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s44	ALL	51160	51273	51086	51071	15	74	187
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s42	SNV	49450	49526	49406	49400	6	44	120
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s42	INDEL	4517	4539	4496	4492	4	21	43
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s42	ALL	53967	54065	53902	53892	10	65	163
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s43	SNV	49559	49578	49508	49487	21	51	70
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s43	INDEL	4565	4590	4541	4532	9	24	49
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s43	ALL	54124	54168	54049	54019	30	75	119
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s44	SNV	49588	49634	49532	49528	4	56	102
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s44	INDEL	4589	4616	4568	4565	3	21	48
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s44	ALL	54177	54250	54100	54093	7	77	150
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s42	SNV	54627	54644	54537	54533	4	90	107
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s42	INDEL	6502	6506	6476	6471	5	26	30
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s42	ALL	61129	61150	61013	61004	9	116	137
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s43	SNV	54687	54702	54628	54625	3	59	74
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s43	INDEL	6517	6515	6489	6483	6	28	26
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s43	ALL	61204	61217	61117	61108	9	87	100
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s44	SNV	54694	54703	54631	54629	2	63	72
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s44	INDEL	6542	6546	6515	6506	9	27	31
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s44	ALL	61236	61249	61146	61135	11	90	103
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s1	SNV	52185	52237	52107	52101	6	78	130
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s1	INDEL	5302	5329	5270	5258	12	32	59
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s1	ALL	57487	57566	57377	57359	18	110	189
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s42	SNV	52148	52236	52095	52089	6	53	141
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s42	INDEL	5310	5346	5282	5271	11	28	64
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s42	ALL	57458	57582	57377	57360	17	81	205
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s43	SNV	52131	52152	52055	52050	5	76	97
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s43	INDEL	5330	5362	5294	5287	7	36	68
