run_id,sample,platform,reference,target_depth_x,seed,mean_target_depth_x,median_target_depth_x,used_gb,pct_target_10x,pct_target_20x,pct_target_30x,pct_target_50x,coverage_tool,coverage_tool_version,run_date
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,5,44,7.86,NA,0.72,0.3043,0.0671,0.0148,0.0008,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,5,42,7.86,NA,0.72,0.3039,0.0671,0.0148,0.0008,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,5,43,7.87,NA,0.72,0.3047,0.0673,0.0146,0.0008,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.8x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,8,44,12.55,NA,1.15,0.5150,0.1972,0.0744,0.0104,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.8x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,8,42,12.54,NA,1.15,0.5146,0.1972,0.0741,0.0104,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.8x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,8,43,12.56,NA,1.15,0.5158,0.1974,0.0747,0.0104,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,10,42,15.66,NA,1.43,0.6114,0.2864,0.1300,0.0267,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,10,43,15.67,NA,1.44,0.6119,0.2865,0.1303,0.0265,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,10,44,15.66,NA,1.43,0.6108,0.2866,0.1300,0.0266,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,12,42,18.76,NA,1.72,0.6823,0.3683,0.1899,0.0503,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,12,44,18.76,NA,1.72,0.6818,0.3687,0.1898,0.0502,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,12,43,18.77,NA,1.72,0.6825,0.3688,0.1901,0.0503,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,15,44,23.38,NA,2.14,0.7558,0.4738,0.2789,0.0955,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,15,43,23.39,NA,2.14,0.7565,0.4742,0.2788,0.0956,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,15,42,23.39,NA,2.14,0.7563,0.4737,0.2789,0.0952,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.20x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,20,42,31.04,NA,2.85,0.8302,0.6045,0.4112,0.1824,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.20x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,20,44,31.04,NA,2.85,0.8298,0.6048,0.4113,0.1823,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.20x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,20,43,31.04,NA,2.85,0.8306,0.6048,0.4113,0.1826,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.25x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,25,42,38.62,NA,3.54,0.8724,0.6930,0.5176,0.2703,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.25x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,25,43,38.63,NA,3.54,0.8727,0.6932,0.5179,0.2703,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.25x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,25,44,38.63,NA,3.54,0.8721,0.6928,0.5180,0.2703,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,42,46.14,NA,4.23,0.8991,0.7539,0.6001,0.3527,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,44,46.15,NA,4.23,0.8986,0.7535,0.6005,0.3529,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,43,46.15,NA,4.23,0.8992,0.7540,0.6004,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.40x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,40,42,60.98,NA,5.60,0.9299,0.8290,0.7129,0.4902,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.40x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,40,44,60.99,NA,5.60,0.9293,0.8283,0.7125,0.4906,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.40x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,40,43,60.99,NA,5.60,0.9297,0.8288,0.7129,0.4905,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.50x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,50,42,75.55,NA,6.94,0.9466,0.8713,0.7818,0.5928,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.50x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,50,44,75.57,NA,6.94,0.9461,0.8710,0.7815,0.5934,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.50x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,50,43,75.56,NA,6.94,0.9463,0.8717,0.7818,0.5933,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.60x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,60,44,89.89,NA,8.26,0.9566,0.8977,0.8264,0.6681,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.60x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,60,42,89.87,NA,8.26,0.9569,0.8978,0.8268,0.6678,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.60x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,60,43,89.88,NA,8.26,0.9566,0.8982,0.8266,0.6681,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.75x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,75,42,110.89,NA,10.20,0.9665,0.9226,0.8694,0.7454,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.75x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,75,43,110.91,NA,10.21,0.9663,0.9228,0.8696,0.7452,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.75x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,75,44,110.92,NA,10.21,0.9664,0.9224,0.8692,0.7451,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,100,42,144.75,NA,13.34,0.9754,0.9453,0.9087,0.8217,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.full.s0,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,full,0,627.23,NA,59.26,0.9934,0.9897,0.9855,0.9755,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,100,44,144.81,NA,13.34,0.9753,0.9452,0.9084,0.8214,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,100,43,144.78,NA,13.34,0.9753,0.9453,0.9088,0.8216,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.150x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,150,44,208.45,NA,19.27,0.9834,0.9653,0.9437,0.8917,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.150x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,150,42,208.38,NA,19.26,0.9835,0.9653,0.9437,0.8918,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.150x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,150,43,208.40,NA,19.26,0.9835,0.9652,0.9437,0.8918,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,5,42,7.86,NA,0.72,0.3039,0.0671,0.0148,0.0008,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.8x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,8,44,12.55,NA,1.15,0.5150,0.1972,0.0744,0.0104,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,5,44,7.86,NA,0.72,0.3043,0.0671,0.0148,0.0008,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.8x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,8,43,12.56,NA,1.15,0.5158,0.1974,0.0747,0.0104,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.8x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,8,42,12.54,NA,1.15,0.5146,0.1972,0.0741,0.0104,mosdepth,0.3.3,2026-07-15
