label	category	n	QUAL	DP	GQ	QQ
ZY_BGI_NA12878.grch38.deepvariant.50x.s43	concordant	56176	24.80	67.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s43	discordant	12	20.30	45.50	14.50	
ZY_BGI_NA12878.grch38.deepvariant.50x.s43	cpu_only	70	24.30	53.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s43	gpu_only	135	24.10	58.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s44	concordant	56225	24.80	67.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s44	discordant	17	22.20	53.00	17.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s44	cpu_only	78	23.35	74.50	20.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s44	gpu_only	108	22.55	81.50	20.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s42	concordant	46839	24.60	9.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s42	discordant	29	21.00	4.00	14.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s42	cpu_only	88	17.10	8.00	15.50	
ZY_BGI_NA12878.grch38.deepvariant.5x.s42	gpu_only	111	24.00	7.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s43	concordant	46532	24.60	9.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s43	discordant	27	21.20	4.00	15.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s43	cpu_only	76	22.25	10.00	20.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s43	gpu_only	133	24.30	6.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s44	concordant	46662	24.70	9.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s44	discordant	22	22.20	4.50	15.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s44	cpu_only	92	23.70	10.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.5x.s44	gpu_only	147	23.30	9.00	20.00	
ZY_BGI_NA12878.grch38.deepvariant.full.s0	concordant	57149	24.80	469.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.full.s0	discordant	48	21.65	194.50	13.50	
ZY_BGI_NA12878.grch38.deepvariant.full.s0	cpu_only	172	20.55	225.50	16.00	
ZY_BGI_NA12878.grch38.deepvariant.full.s0	gpu_only	217	23.20	220.00	18.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s42	concordant	60766	2180.64	125.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s42	discordant	8	365.41	17.00	6.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s42	cpu_only	68	224.62	60.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s42	gpu_only	84	305.52	54.00	78.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s43	concordant	60879	2182.64	124.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s43	discordant	3	1467.02	63.00	50.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s43	cpu_only	72	420.55	97.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s43	gpu_only	67	460.64	68.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s44	concordant	60832	2179.64	124.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s44	discordant	1	5843.85	214.00	3.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s44	cpu_only	49	185.64	105.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.100x.s44	gpu_only	90	255.81	89.50	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s42	concordant	50800	265.64	15.00	88.00	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s42	discordant	4	90.58	2.50	7.50	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s42	cpu_only	44	50.14	10.00	42.50	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s42	gpu_only	56	54.12	14.00	57.00	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s43	concordant	50721	265.64	15.00	87.00	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s43	discordant	5	206.99	8.00	9.00	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s43	cpu_only	48	49.80	12.00	39.00	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s43	gpu_only	41	49.60	7.00	49.00	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s44	concordant	50626	266.64	15.00	87.00	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s44	discordant	5	121.80	3.00	6.00	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s44	cpu_only	51	82.25	14.00	42.00	
ZY_BGI_NA12878.grch38.gatk4_hc.10x.s44	gpu_only	54	52.34	10.50	59.50	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s42	concordant	54159	373.64	21.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s42	discordant	6	107.72	4.00	10.00	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s42	cpu_only	48	57.14	12.00	54.00	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s42	gpu_only	38	76.60	17.00	82.50	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s43	concordant	53952	376.06	21.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s43	discordant	5	159.10	4.00	14.00	
ZY_BGI_NA12878.grch38.gatk4_hc.15x.s43	cpu_only	47	35.48	11.00	38.00	
