label	category	n	QUAL	DP	GQ	QQ
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s44	discordant	19	727.06	29.00	35.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s44	cpu_only	145	171.60	82.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s44	gpu_only	144	278.52	57.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s42	concordant	54811	286.64	17.00	96.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s42	discordant	15	302.03	10.00	13.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s42	cpu_only	162	50.12	14.00	42.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s42	gpu_only	124	78.32	9.00	47.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s43	concordant	54793	287.64	17.00	96.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s43	discordant	24	153.31	8.00	14.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s43	cpu_only	121	58.71	13.00	40.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s43	gpu_only	113	66.84	7.00	48.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s44	concordant	54890	287.64	17.00	96.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s44	discordant	16	192.31	8.00	4.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s44	cpu_only	131	47.64	14.00	41.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s44	gpu_only	119	64.64	9.00	57.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s42	concordant	57310	413.64	24.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s42	discordant	14	267.31	12.00	13.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s42	cpu_only	172	58.14	14.00	45.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s42	gpu_only	122	101.81	9.00	49.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s43	concordant	57179	414.64	25.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s43	discordant	19	274.03	14.00	32.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s43	cpu_only	160	68.58	16.00	55.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s43	gpu_only	124	81.12	11.00	44.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s44	concordant	57226	414.64	24.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s44	discordant	14	180.51	6.50	11.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s44	cpu_only	115	52.64	15.00	46.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s44	gpu_only	88	58.10	8.00	50.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s42	concordant	61714	4607.64	278.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s42	discordant	8	1191.49	33.00	56.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s42	cpu_only	127	161.64	191.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s42	gpu_only	90	1064.54	80.50	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s43	concordant	61661	4598.64	278.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s43	discordant	12	4563.02	155.50	67.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s43	cpu_only	130	212.64	137.50	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s43	gpu_only	113	709.64	178.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s44	concordant	61598	4618.12	278.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s44	discordant	14	1746.52	73.50	95.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s44	cpu_only	139	146.64	110.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s44	gpu_only	160	486.81	188.50	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s42	concordant	59493	795.64	47.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s42	discordant	12	266.01	11.00	9.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s42	cpu_only	126	103.14	27.00	74.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s42	gpu_only	154	167.37	17.00	63.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s43	concordant	59551	796.60	48.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s43	discordant	10	165.56	7.50	17.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s43	cpu_only	125	69.94	27.00	63.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s43	gpu_only	162	105.60	16.00	63.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s44	concordant	59462	796.60	47.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s44	discordant	13	195.96	8.00	18.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s44	cpu_only	133	88.64	31.00	58.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s44	gpu_only	129	121.84	14.00	62.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s42	concordant	60390	1293.64	77.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s42	discordant	15	493.86	14.00	15.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s42	cpu_only	150	138.31	28.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s42	gpu_only	125	186.02	26.00	74.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s43	concordant	60299	1293.06	78.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s43	discordant	12	830.99	26.50	24.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s43	cpu_only	129	94.64	42.00	91.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s43	gpu_only	150	140.64	29.00	72.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s44	concordant	60307	1301.64	77.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s44	discordant	10	206.00	8.00	23.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s44	cpu_only	117	106.64	38.00	63.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s44	gpu_only	127	108.02	16.00	67.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s42	concordant	47200	164.96	9.00	51.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s42	discordant	21	329.06	13.00	2.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s42	cpu_only	102	40.60	9.00	39.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s42	gpu_only	132	59.96	5.00	24.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s43	concordant	47048	164.64	9.00	51.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s43	discordant	22	123.12	5.00	21.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s43	cpu_only	151	59.80	7.00	39.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s43	gpu_only	115	54.32	4.00	34.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s44	concordant	46992	165.96	9.00	51.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s44	discordant	11	89.84	6.00	8.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s44	cpu_only	124	37.64	7.50	39.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s44	gpu_only	122	67.64	5.00	45.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.full.s0	concordant	62051	11931.10	722.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.full.s0	discordant	16	3146.53	131.00	43.50	
ZY_GeneMind_NA12878.grch38.gatk4_hc.full.s0	cpu_only	198	471.12	414.00	99.00	
ZY_GeneMind_NA12878.grch38.gatk4_hc.full.s0	gpu_only	165	1258.02	239.00	99.00	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s42	concordant	56472	24.80	132.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s42	discordant	11	20.00	32.00	11.00	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s42	cpu_only	88	16.30	120.00	14.00	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s42	gpu_only	89	18.90	122.00	17.00	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s43	concordant	56543	24.80	132.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s43	discordant	14	22.05	48.50	15.50	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s43	cpu_only	68	18.95	139.00	16.50	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s43	gpu_only	94	15.20	122.00	14.00	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s44	concordant	56428	24.80	132.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s44	discordant	24	20.95	45.50	12.00	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s44	cpu_only	89	19.80	123.00	17.00	
ZY_Illumina_NA12878.grch38.deepvariant.100x.s44	gpu_only	83	19.40	151.00	18.00	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s42	concordant	49824	24.70	16.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s42	discordant	24	22.00	4.00	12.50	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s42	cpu_only	43	21.90	16.00	18.00	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s42	gpu_only	64	23.55	9.00	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s43	concordant	49974	24.70	16.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s43	discordant	10	19.55	8.00	9.00	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s43	cpu_only	50	24.30	11.50	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s43	gpu_only	57	24.50	9.00	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s44	concordant	50079	24.70	16.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s44	discordant	16	22.10	5.00	11.50	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s44	cpu_only	48	24.30	10.50	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.10x.s44	gpu_only	75	24.40	10.00	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s42	concordant	52426	24.80	23.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s42	discordant	16	22.00	5.00	16.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s42	cpu_only	45	24.00	14.00	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s42	gpu_only	70	23.20	14.00	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s43	concordant	52480	24.80	23.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s43	discordant	17	19.90	5.00	12.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s43	cpu_only	52	14.20	25.00	13.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s43	gpu_only	67	24.20	15.00	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s44	concordant	52476	24.80	23.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s44	discordant	19	20.90	11.00	14.00	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s44	cpu_only	58	20.75	15.50	16.50	
ZY_Illumina_NA12878.grch38.deepvariant.15x.s44	gpu_only	70	24.30	11.50	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s42	concordant	56870	24.80	229.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s42	discordant	23	20.80	103.00	16.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s42	cpu_only	115	15.50	166.00	13.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s42	gpu_only	90	17.30	232.00	16.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s43	concordant	56882	24.80	229.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s43	discordant	19	15.20	115.00	7.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s43	cpu_only	124	15.35	174.50	13.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s43	gpu_only	117	18.10	193.00	16.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s44	concordant	56865	24.80	229.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s44	discordant	25	20.30	147.00	14.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s44	cpu_only	117	17.00	176.00	15.00	
ZY_Illumina_NA12878.grch38.deepvariant.200x.s44	gpu_only	108	21.00	211.50	18.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s1	concordant	54871	24.80	43.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s1	discordant	15	18.90	6.00	8.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s1	cpu_only	74	22.35	31.00	20.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s1	gpu_only	52	16.90	31.50	16.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s42	concordant	54877	24.80	43.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s42	discordant	17	15.70	20.00	9.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s42	cpu_only	65	14.10	25.00	13.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s42	gpu_only	65	23.80	21.00	19.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s43	concordant	54801	24.80	43.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s43	discordant	11	19.40	9.00	10.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s43	cpu_only	56	18.90	41.50	17.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s43	gpu_only	60	18.70	23.00	16.50	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s44	concordant	54910	24.80	43.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s44	discordant	16	21.75	11.00	15.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s44	cpu_only	48	20.00	30.50	18.00	
ZY_Illumina_NA12878.grch38.deepvariant.30x.s44	gpu_only	50	21.60	17.00	17.00	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s42	concordant	55682	24.80	70.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s42	discordant	16	19.55	41.00	7.50	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s42	cpu_only	76	13.75	48.50	13.00	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s42	gpu_only	91	16.60	38.00	14.00	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s43	concordant	55791	24.80	70.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s43	discordant	15	23.50	33.00	20.00	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s43	cpu_only	79	17.10	94.00	16.00	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s43	gpu_only	76	15.45	57.00	14.00	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s44	concordant	55782	24.80	70.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s44	discordant	14	24.10	24.50	19.50	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s44	cpu_only	68	20.90	40.00	18.00	
ZY_Illumina_NA12878.grch38.deepvariant.50x.s44	gpu_only	57	20.70	66.00	18.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s42	concordant	42774	24.70	9.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s42	discordant	16	19.90	5.00	10.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s42	cpu_only	74	19.95	7.00	18.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s42	gpu_only	79	23.80	6.00	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s43	concordant	43019	24.70	9.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s43	discordant	26	20.05	5.50	10.50	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s43	cpu_only	86	24.50	9.00	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s43	gpu_only	95	24.60	9.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s44	concordant	42969	24.70	9.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s44	discordant	23	19.20	5.00	7.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s44	cpu_only	55	24.40	10.00	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.5x.s44	gpu_only	63	24.40	6.00	21.00	
ZY_Illumina_NA12878.grch38.deepvariant.full.s0	concordant	57214	24.80	421.00	22.00	
ZY_Illumina_NA12878.grch38.deepvariant.full.s0	discordant	28	22.80	337.00	17.00	
ZY_Illumina_NA12878.grch38.deepvariant.full.s0	cpu_only	132	18.85	286.00	17.00	
ZY_Illumina_NA12878.grch38.deepvariant.full.s0	gpu_only	142	19.85	352.50	17.50	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s42	concordant	60204	2259.05	128.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s42	discordant	16	958.02	26.00	36.50	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s42	cpu_only	149	190.60	66.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s42	gpu_only	216	156.62	72.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s43	concordant	60211	2258.64	128.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s43	discordant	19	308.01	12.00	36.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s43	cpu_only	125	96.64	60.00	73.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s43	gpu_only	161	124.63	69.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s44	concordant	60153	2256.64	128.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s44	discordant	15	197.64	9.00	12.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s44	cpu_only	119	118.02	38.00	84.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s44	gpu_only	197	145.64	69.00	87.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s42	concordant	50844	288.64	16.00	94.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s42	discordant	11	103.64	4.00	15.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s42	cpu_only	73	65.32	13.00	39.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s42	gpu_only	190	68.98	7.00	44.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s43	concordant	51047	287.64	16.00	96.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s43	discordant	13	110.84	3.00	9.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s43	cpu_only	91	61.64	10.00	40.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s43	gpu_only	128	56.12	7.00	45.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s44	concordant	51071	285.64	16.00	95.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s44	discordant	15	111.92	5.00	6.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s44	cpu_only	74	61.64	11.00	42.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s44	gpu_only	187	67.64	8.00	52.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s42	concordant	53892	404.64	23.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s42	discordant	10	158.04	5.00	4.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s42	cpu_only	65	65.64	14.00	45.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s42	gpu_only	163	78.32	9.00	57.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s43	concordant	54019	403.64	23.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s43	discordant	30	207.83	6.00	13.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s43	cpu_only	75	74.32	14.00	51.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s43	gpu_only	119	58.64	10.00	51.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s44	concordant	54093	402.64	22.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s44	discordant	7	139.93	6.00	6.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s44	cpu_only	77	60.64	14.00	45.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s44	gpu_only	150	58.64	9.50	48.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s42	concordant	61004	4150.35	236.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s42	discordant	9	881.02	43.00	30.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s42	cpu_only	116	113.62	161.00	98.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s42	gpu_only	137	520.64	162.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s43	concordant	61108	4149.14	237.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s43	discordant	9	547.77	31.00	50.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s43	cpu_only	87	169.87	78.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s43	gpu_only	100	236.62	109.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s44	concordant	61135	4138.06	236.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s44	discordant	11	536.02	23.00	35.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s44	cpu_only	90	266.64	115.50	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s44	gpu_only	103	353.64	119.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s1	concordant	57359	748.64	42.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s1	discordant	18	198.63	8.00	15.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s1	cpu_only	110	94.12	19.00	58.50	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s1	gpu_only	189	93.60	21.00	57.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s42	concordant	57360	747.85	42.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s42	discordant	17	262.97	9.00	33.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s42	cpu_only	81	63.64	14.00	56.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s42	gpu_only	205	102.60	17.00	70.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s43	concordant	57337	752.06	42.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s43	discordant	12	261.89	9.50	15.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s43	cpu_only	112	66.12	22.00	51.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s43	gpu_only	165	114.60	26.00	69.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s44	concordant	57384	753.06	42.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s44	discordant	7	221.86	10.00	9.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s44	cpu_only	87	78.28	21.00	57.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s44	gpu_only	149	78.32	12.00	48.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s42	concordant	58828	1195.64	67.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s42	discordant	7	489.02	23.00	35.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s42	cpu_only	123	100.00	35.00	70.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s42	gpu_only	170	125.12	36.00	84.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s43	concordant	58891	1198.60	68.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s43	discordant	16	195.56	6.50	34.50	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s43	cpu_only	110	84.12	28.00	67.50	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s43	gpu_only	200	88.64	34.00	70.50	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s44	concordant	58907	1195.64	68.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s44	discordant	12	431.04	13.50	47.50	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s44	cpu_only	118	98.10	27.50	71.50	
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s44	gpu_only	199	107.64	41.00	87.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s42	concordant	42900	168.64	9.00	54.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s42	discordant	8	169.23	6.00	6.50	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s42	cpu_only	46	46.64	5.00	32.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s42	gpu_only	157	59.32	5.00	40.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s43	concordant	43280	170.04	9.00	54.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s43	discordant	7	196.64	7.00	21.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s43	cpu_only	82	35.44	6.00	38.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s43	gpu_only	98	49.98	4.00	34.50	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s44	concordant	43156	168.64	9.00	54.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s44	discordant	14	98.30	5.00	13.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s44	cpu_only	61	56.64	5.00	38.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s44	gpu_only	193	69.97	6.00	37.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.full.s0	concordant	61923	10040.10	574.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.full.s0	discordant	8	887.52	19.50	40.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.full.s0	cpu_only	158	297.64	229.00	99.00	
ZY_Illumina_NA12878.grch38.gatk4_hc.full.s0	gpu_only	132	667.62	273.50	99.00	
