run_id,sample,platform,reference,caller,hardware,target_depth_x,seed,call_sec,total_sec,run_date
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.200x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,gatk4_hc,cpu,200,44,5078,10721,2026-07-30
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_deepvariant.gpu.200x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,pbrun_deepvariant,gpu,200,42,155,2310,2026-07-30
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_deepvariant.gpu.200x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,pbrun_deepvariant,gpu,200,43,152,2263,2026-07-30
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_deepvariant.gpu.200x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,pbrun_deepvariant,gpu,200,44,200,2641,2026-07-30
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_haplotypecaller.gpu.200x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,pbrun_haplotypecaller,gpu,200,42,196,825,2026-07-30
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_haplotypecaller.gpu.200x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,pbrun_haplotypecaller,gpu,200,43,191,714,2026-07-30
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_haplotypecaller.gpu.200x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,pbrun_haplotypecaller,gpu,200,44,197,726,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,deepvariant,cpu,300,43,627,10077,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,deepvariant,cpu,200,43,645,5528,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.300x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,gatk4_hc,cpu,300,43,7651,16251,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.200x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,gatk4_hc,cpu,200,43,4997,10370,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,deepvariant,cpu,300,42,641,10410,2026-07-30
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,deepvariant,cpu,400,42,651,13426,2026-07-30
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,400,44,1484,18299,2026-07-31
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,400,42,1588,19105,2026-07-31
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,deepvariant,cpu,400,43,1606,19416,2026-07-31
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,deepvariant,cpu,400,44,1585,19670,2026-07-31
ZY_GeneMind_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s43,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,deepvariant,cpu,400,43,3332,22470,2026-07-31
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.400x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,gatk4_hc,cpu,400,42,10948,27489,2026-07-31
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.400x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,gatk4_hc,cpu,400,43,11351,21841,2026-07-31
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.400x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,gatk4_hc,cpu,400,44,11463,21919,2026-07-31
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.400x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,400,44,13328,23469,2026-07-31
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.400x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,400,42,13361,23545,2026-07-31
ZY_GeneMind_NA12878.grch38.bwa-mem.gatk4_hc.cpu.400x.s43,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,gatk4_hc,cpu,400,43,12684,23402,2026-07-31
ZY_GeneMind_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s42,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,deepvariant,cpu,400,42,3862,19711,2026-07-31
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,300,43,1699,14008,2026-07-31
ZY_GeneMind_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s44,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,deepvariant,cpu,300,44,3319,18249,2026-07-31
ZY_GeneMind_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s42,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,deepvariant,cpu,300,42,3245,17559,2026-07-31
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,400,43,1375,16909,2026-07-31
ZY_GeneMind_NA12878.grch38.bwa-mem.deepvariant.cpu.400x.s44,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,deepvariant,cpu,400,44,3339,21703,2026-07-31
ZY_GeneMind_NA12878.grch38.bwa-mem.gatk4_hc.cpu.400x.s42,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,gatk4_hc,cpu,400,42,11635,26713,2026-07-31
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.300x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,300,43,9111,18793,2026-07-31
ZY_GeneMind_NA12878.grch38.bwa-mem.gatk4_hc.cpu.300x.s44,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,gatk4_hc,cpu,300,44,8639,16964,2026-07-31
ZY_GeneMind_NA12878.grch38.bwa-mem.gatk4_hc.cpu.300x.s42,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,gatk4_hc,cpu,300,42,8662,17088,2026-07-31
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,300,42,1516,12718,2026-08-01
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.400x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,400,43,14789,24785,2026-08-01
ZY_GeneMind_NA12878.grch38.bwa-mem.gatk4_hc.cpu.400x.s44,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,gatk4_hc,cpu,400,44,13900,24615,2026-08-01
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.300x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,gatk4_hc,cpu,300,42,10269,11091,2026-08-01
ZY_GeneMind_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s43,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,deepvariant,cpu,300,43,3077,16177,2026-08-01
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,deepvariant,cpu,300,44,1618,13898,2026-08-01
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,200,44,919,7097,2026-08-01
ZY_GeneMind_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s43,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,deepvariant,cpu,200,43,2170,9848,2026-08-01
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.300x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,300,44,1182,12860,2026-08-01
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.300x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,300,42,9402,19698,2026-08-01
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.200x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,200,44,5925,12109,2026-08-01
ZY_GeneMind_NA12878.grch38.bwa-mem.gatk4_hc.cpu.200x.s43,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,gatk4_hc,cpu,200,43,5638,11635,2026-08-01
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.300x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,gatk4_hc,cpu,300,44,7791,18112,2026-08-01
ZY_GeneMind_NA12878.grch38.bwa-mem.gatk4_hc.cpu.300x.s43,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,gatk4_hc,cpu,300,43,8593,19082,2026-08-01
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,200,43,1201,6346,2026-08-01
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,200,42,897,6635,2026-08-01
ZY_GeneMind_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s44,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,deepvariant,cpu,200,44,1777,8046,2026-08-01
ZY_GeneMind_NA12878.grch38.bwa-mem.deepvariant.cpu.200x.s42,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,deepvariant,cpu,200,42,1823,8391,2026-08-01
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.300x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,300,44,10698,18494,2026-08-01
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.200x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,200,43,5900,11874,2026-08-01
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.200x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,200,42,5892,11427,2026-08-01
ZY_GeneMind_NA12878.grch38.bwa-mem.gatk4_hc.cpu.200x.s44,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,gatk4_hc,cpu,200,44,5349,11049,2026-08-01
ZY_GeneMind_NA12878.grch38.bwa-mem.gatk4_hc.cpu.200x.s42,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,gatk4_hc,cpu,200,42,5400,11110,2026-08-01
