pair,concordant_n,concordant_DP,concordant_GQ,concordant_QUAL,discordant_n,discordant_DP,discordant_GQ,discordant_QUAL,cpu_only_n,cpu_only_DP,cpu_only_GQ,cpu_only_QUAL,gpu_only_n,gpu_only_DP,gpu_only_GQ,gpu_only_QUAL
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s43,61707.0,236.0,99.0,4137.64,4.0,77.0,38.0,1685.79,90.0,177.0,99.0,200.64,65.0,97.0,99.0,391.05
ZY_BGI_NA12878.grch38.gatk4_hc.200x.s44,61843.0,235.0,99.0,4118.64,3.0,5.0,20.0,190.96,73.0,193.0,99.0,385.64,76.0,111.5,99.0,610.14
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s42,57857.0,40.0,99.0,701.64,6.0,9.5,26.0,251.01,52.0,31.0,63.0,96.12,56.0,37.0,59.0,56.62
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s43,57750.0,40.0,99.0,706.06,3.0,13.0,30.0,414.06,48.0,20.0,54.0,105.12,38.0,28.0,93.5,80.14
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s44,57777.0,40.0,99.0,704.06,4.0,7.0,19.5,162.06,54.0,19.0,61.0,66.62,52.0,37.5,70.0,60.62
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s42,59554.0,65.0,99.0,1130.64,2.0,3.0,25.5,102.37,45.0,25.0,78.0,123.6,76.0,45.5,94.0,129.64
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s43,59515.0,65.0,99.0,1132.6,2.0,27.0,80.5,617.02,51.0,34.0,99.0,152.6,48.0,47.0,96.5,91.62
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s44,59443.0,65.0,99.0,1134.64,6.0,110.5,66.5,2637.01,46.0,45.5,96.0,109.64,49.0,91.0,99.0,372.64
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s42,41977.0,9.0,48.0,157.96,13.0,5.0,6.0,103.06,41.0,6.0,38.0,41.64,72.0,5.0,46.0,63.48
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s43,41803.0,9.0,47.0,158.64,11.0,3.0,6.0,94.98,51.0,6.0,38.0,37.64,64.0,5.0,38.0,37.32
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s44,41790.0,9.0,47.0,158.02,15.0,4.0,6.0,105.44,39.0,4.0,36.0,35.32,42.0,5.0,38.0,40.12
