platform,caller,variant_type,target_depth_x,mean_on_target_depth,F1_mean,F1_std,precision_mean,recall_mean,n_seeds
bgi_dnbseq_t7,deepvariant,INDEL,10,14.51,0.8120783333333333,0.00345340416594018,0.9274246666666667,0.7222540000000001,3
bgi_dnbseq_t7,deepvariant,INDEL,100,137.52666666666667,0.959937,0.002259281080343902,0.9729483333333334,0.947273,3
bgi_dnbseq_t7,deepvariant,INDEL,12,17.393333333333334,0.8376769999999999,0.002392404439052878,0.9341856666666667,0.7592490000000001,3
bgi_dnbseq_t7,deepvariant,INDEL,15,21.69333333333333,0.8647466666666667,0.0010182363838192343,0.9414813333333333,0.7995803333333334,3
bgi_dnbseq_t7,deepvariant,INDEL,150,200.47,0.9643813333333333,0.0011259237688819503,0.975845,0.9531846666666667,3
bgi_dnbseq_t7,deepvariant,INDEL,20,28.84,0.889996,0.0014991187411276126,0.9465560000000001,0.839817,3
bgi_dnbseq_t7,deepvariant,INDEL,200,259.96,0.9670496666666667,0.001835508194842282,0.9765203333333333,0.9577613333333334,3
bgi_dnbseq_t7,deepvariant,INDEL,25,35.943333333333335,0.9071296666666666,0.0025956521980676508,0.9526646666666667,0.8657513333333333,3
bgi_dnbseq_t7,deepvariant,INDEL,30,43.00333333333333,0.9181896666666667,0.0010233280673046167,0.9564013333333333,0.8829136666666667,3
bgi_dnbseq_t7,deepvariant,INDEL,300,369.6166666666666,0.9691420000000001,0.003490082377251325,0.9780130000000001,0.9604313333333333,3
bgi_dnbseq_t7,deepvariant,INDEL,40,57.0,0.9327039999999999,0.0008160631103045585,0.9611596666666666,0.9058923333333334,3
bgi_dnbseq_t7,deepvariant,INDEL,400,468.3533333333333,0.9704133333333335,0.0005024194794525428,0.9784309999999999,0.9625286666666666,3
bgi_dnbseq_t7,deepvariant,INDEL,5,7.273333333333333,0.6775886666666667,0.004060605537765653,0.897749,0.5441456666666666,3
bgi_dnbseq_t7,deepvariant,INDEL,50,70.82,0.940376,0.0014971636517094814,0.9645026666666666,0.9174293333333333,3
bgi_dnbseq_t7,deepvariant,INDEL,60,84.47666666666667,0.9455083333333333,0.000853448494833372,0.9655356666666667,0.9262966666666667,3
bgi_dnbseq_t7,deepvariant,INDEL,75,104.66333333333334,0.9528903333333334,0.0034537979578042935,0.9698663333333334,0.9364986666666667,3
bgi_dnbseq_t7,deepvariant,INDEL,8,11.616666666666665,0.7748906666666667,0.002422977782261597,0.917999,0.6703853333333334,3
bgi_dnbseq_t7,deepvariant,INDEL,full,741.72,0.971235,,0.977739,0.964817,1
bgi_dnbseq_t7,deepvariant,SNV,10,14.51,0.8863686666666667,0.0004899238035994807,0.9069883333333334,0.8666663333333333,3
bgi_dnbseq_t7,deepvariant,SNV,100,137.52666666666667,0.9876556666666666,0.00016365919874343176,0.994713,0.9806976666666666,3
bgi_dnbseq_t7,deepvariant,SNV,12,17.393333333333334,0.9070113333333333,0.0008268520625440474,0.92285,0.8917080000000001,3
bgi_dnbseq_t7,deepvariant,SNV,15,21.69333333333333,0.9277946666666667,0.0007255703503680938,0.9406653333333334,0.9152713333333334,3
bgi_dnbseq_t7,deepvariant,SNV,150,200.47,0.9896343333333334,7.320063752002115e-05,0.996368,0.9829906666666667,3
bgi_dnbseq_t7,deepvariant,SNV,20,28.84,0.9486663333333333,0.0001589727439951277,0.9592933333333334,0.9382726666666666,3
bgi_dnbseq_t7,deepvariant,SNV,200,259.96,0.990568,0.00017156048496085093,0.9972163333333333,0.9840073333333333,3
bgi_dnbseq_t7,deepvariant,SNV,25,35.943333333333335,0.9606876666666667,0.00016216452550829786,0.9704343333333334,0.951136,3
