platform,caller,variant_type,precision,recall,F1,mean_on_target_depth,n_seeds
bgi_dnbseq_t7,deepvariant,INDEL,0.9564013333333333,0.8829136666666667,0.9181896666666667,43.00333333333333,3
bgi_dnbseq_t7,deepvariant,SNV,0.9766206666666667,0.9589806666666667,0.96772,43.00333333333333,3
bgi_dnbseq_t7,gatk4_hc,INDEL,0.7836293333333334,0.8425816666666667,0.8120310000000001,43.00333333333333,3
bgi_dnbseq_t7,gatk4_hc,SNV,0.9812696666666666,0.9549280000000001,0.9679196666666666,43.00333333333333,3
genemind_surfseq5000,deepvariant,INDEL,0.9818303333333334,0.9513729999999999,0.9663616666666667,44.300000000000004,3
genemind_surfseq5000,deepvariant,SNV,0.9964406666666666,0.9790033333333333,0.987645,44.300000000000004,3
genemind_surfseq5000,gatk4_hc,INDEL,0.8763566666666667,0.9155226666666666,0.8955113333333333,44.300000000000004,3
genemind_surfseq5000,gatk4_hc,SNV,0.9792623333333333,0.9751963333333333,0.9772246666666667,44.300000000000004,3
illumina_novaseq6000,deepvariant,INDEL,0.9626236666666667,0.8820556666666667,0.9205800000000001,46.14666666666667,3
illumina_novaseq6000,deepvariant,SNV,0.9943443333333333,0.958411,0.976047,46.14666666666667,3
illumina_novaseq6000,gatk4_hc,INDEL,0.8203423333333334,0.8430586666666667,0.8315440000000001,46.14666666666667,3
illumina_novaseq6000,gatk4_hc,SNV,0.980331,0.9537599999999999,0.966863,46.14666666666667,3
