sample,reference,caller_pair,target_depth_x,seed,variant_type,CPU_F1,GPU_F1,abs_delta_F1
ZY_BGI_NA12878,grch38,gatk4_hc,30,44,SNV,0.968284,0.967977,0.00030700000000005723
ZY_BGI_NA12878,grch38,gatk4_hc,50,42,INDEL,0.829772,0.829838,6.60000000000105e-05
ZY_BGI_NA12878,grch38,gatk4_hc,50,42,SNV,0.975473,0.975276,0.00019700000000000273
ZY_BGI_NA12878,grch38,gatk4_hc,50,43,INDEL,0.827208,0.827591,0.0003829999999999112
ZY_BGI_NA12878,grch38,gatk4_hc,50,43,SNV,0.975485,0.975253,0.00023200000000000998
ZY_BGI_NA12878,grch38,gatk4_hc,50,44,INDEL,0.830957,0.830733,0.00022399999999989095
ZY_BGI_NA12878,grch38,gatk4_hc,50,44,SNV,0.976209,0.975926,0.0002830000000000332
ZY_BGI_NA12878,grch38,deepvariant,15,42,INDEL,0.865132,0.865566,0.00043399999999993444
ZY_BGI_NA12878,grch38,deepvariant,15,42,SNV,0.927075,0.927388,0.0003130000000000077
ZY_BGI_NA12878,grch38,gatk4_hc,full,0,INDEL,0.86127,0.861386,0.00011600000000000499
ZY_BGI_NA12878,grch38,gatk4_hc,full,0,SNV,0.982914,0.982749,0.00016499999999997073
ZY_BGI_NA12878,grch38,deepvariant,15,44,INDEL,0.863592,0.864029,0.0004370000000000207
ZY_BGI_NA12878,grch38,deepvariant,15,44,SNV,0.928526,0.928632,0.0001060000000000505
ZY_BGI_NA12878,grch38,deepvariant,15,43,INDEL,0.865516,0.864573,0.0009429999999999161
ZY_BGI_NA12878,grch38,deepvariant,15,43,SNV,0.927783,0.927922,0.00013900000000000023
ZY_BGI_NA12878,grch38,deepvariant,30,42,INDEL,0.918365,0.919923,0.0015580000000000593
ZY_BGI_NA12878,grch38,deepvariant,30,42,SNV,0.967319,0.967288,3.100000000000325e-05
ZY_BGI_NA12878,grch38,deepvariant,30,43,INDEL,0.919114,0.919935,0.0008209999999999607
ZY_BGI_NA12878,grch38,deepvariant,30,43,SNV,0.967414,0.967591,0.00017699999999998273
ZY_BGI_NA12878,grch38,deepvariant,30,44,INDEL,0.91709,0.91743,0.00034000000000000696
ZY_BGI_NA12878,grch38,deepvariant,30,44,SNV,0.968427,0.968569,0.00014199999999997548
ZY_BGI_NA12878,grch38,deepvariant,50,42,INDEL,0.938718,0.939972,0.0012539999999999774
ZY_BGI_NA12878,grch38,deepvariant,50,42,SNV,0.97993,0.979996,6.60000000000105e-05
ZY_BGI_NA12878,grch38,deepvariant,50,43,INDEL,0.941629,0.941583,4.6000000000101515e-05
ZY_BGI_NA12878,grch38,deepvariant,50,43,SNV,0.979676,0.979788,0.00011200000000000099
ZY_BGI_NA12878,grch38,deepvariant,50,44,INDEL,0.940781,0.94183,0.0010489999999999666
ZY_BGI_NA12878,grch38,deepvariant,50,44,SNV,0.981216,0.981313,9.700000000001374e-05
ZY_GeneMind_NA12878,grch38,gatk4_hc,15,42,INDEL,0.857656,0.858382,0.0007260000000000044
ZY_GeneMind_NA12878,grch38,gatk4_hc,15,42,SNV,0.962562,0.961955,0.0006070000000000242
ZY_BGI_NA12878,grch38,deepvariant,full,0,INDEL,0.971235,0.97199,0.0007550000000000612
ZY_BGI_NA12878,grch38,deepvariant,full,0,SNV,0.992178,0.992232,5.3999999999998494e-05
ZY_GeneMind_NA12878,grch38,gatk4_hc,15,43,INDEL,0.862196,0.862353,0.00015700000000007375
