variant_type,filter,F1,precision,recall
INDEL,raw (unfiltered),0.8284736666666667,0.7503613333333333,0.9262966666666667
INDEL,hard-filtered,0.888419,0.855571,0.9242946666666666
SNV,raw (unfiltered),0.9824826666666667,0.9787806666666666,0.986214
SNV,hard-filtered,0.982447,0.9787806666666666,0.9861413333333333
